Feature ID	C01	C02	C03	C04	C05	C06	C07	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	P01	P02	P03	P04	P05	P06	P07	P08	P09	P10	U01	U02	U03	U04	U05	U06	U07	V01	V02
f_Acidaminococcaceae	3	0	0	0	0	0	55	0	138	0	2	0	4	85	6	0	3	6	39	4	0	105	0	23	0	0	0	0	7	0	0	0	0	0	122	6
f_Acidimicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Actinomycetaceae	4	10	49	9	1	3	15	1	16	5	18	7	7	13	2	4	7	17	13	54	6	6	7	3	8	2	11	9	20	6	0	18	4	3	1	3
f_Aerococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Alcaligenaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Anaeroplasmataceae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Aridibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Armatimonadetes_gp5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Bacillaceae 1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0
f_Bacillales_Incertae Sedis XI	0	3	11	1	0	0	1	2	0	1	3	2	0	4	0	0	0	2	0	2	2	0	0	0	0	0	8	1	3	3	4	7	3	0	0	1
f_Bacteroidaceae	2446	7962	106	113	5	3279	7962	2327	14369	5248	30066	7784	16204	671	25597	106	6137	18926	19834	19211	7078	24676	20257	15375	28827	5524	6409	14130	37568	12	36	1690	3445	8257	8262	4644
f_Bdellovibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Bifidobacteriaceae	2710	2	1557	7895	89	2102	3373	11129	62	1755	5745	2321	5105	24	9813	5350	0	7	3	929	3873	31	6	3950	4264	4	30	7338	23856	3	2836	4464	1793	407	1108	2460
f_Bradyrhizobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
f_Brucellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Burkholderiaceae	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
f_Campylobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Candidatus Carsonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Cardiobacteriaceae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Carnobacteriaceae	2	3	8	1	0	0	1	0	2	2	0	0	0	3	0	0	2	2	0	1	4	0	0	2	0	0	2	1	9	18	1	2	1	3	0	0
f_Catabacteriaceae	0	0	0	3	0	0	0	0	1	0	0	0	0	0	5	1	0	0	0	1	0	1	0	0	4	0	0	0	6	0	0	0	0	0	2	0
f_Caulobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Chitinophagaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
f_Chloroplast	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
f_Christensenellaceae	0	0	1	0	0	3	0	0	7	0	10	2	28	0	5	3	1	4	1	9	0	8	1	18	6	5	0	0	0	0	1	0	0	0	17	0
f_Chromatiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Clostridiaceae 1	2246	8	60	280	11181	93	2093	7442	8	1015	29835	67	202	11	5	1592	4	926	18	6314	10625	98	1518	103	7190	5	724	15582	43	24	18979	3	6850	4134	8	3
f_Clostridiaceae 4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Clostridiales_Incertae Sedis XI	0	46	4	44	0	284	0	6	13	3	131	3	11	29	5	31	112	18	1	12	1	15	4	6	13	2	63	37	7	0	0	6	17	21	1	0
f_Clostridiales_Incertae Sedis XIII	46	1	1	0	0	32	0	2	65	38	653	49	14	2	45	322	25	65	46	289	0	75	83	104	64	6	9	16	21	0	1	13	0	1	6	4
f_Comamonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
f_Coriobacteriaceae	1944	13447	825	1801	0	2305	132	7537	23879	8764	9732	4922	394	24561	8700	7559	3555	12255	603	10132	699	22359	3089	6302	5175	1372	4821	309	19859	2	507	4291	258	188	4803	3487
f_Corynebacteriaceae	0	0	0	0	23	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	1	3	0	0
f_Defluviitaleaceae	0	0	0	0	0	0	0	0	3	2	1	3	0	0	38	0	4	0	56	4	0	6	0	2	1	0	0	0	0	0	0	0	0	0	1	0
f_Dermabacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Desulfomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
